Study;Drug;Time;DV ;DV_CHR;Time_unit;DV_unit;DV_type;Dose_mg;Frequency
Shi_etal_2024;Plozasiran;0.735614647;-12.26386213;APOC3;days;Change from baseline in percent;PRED;50;Once every 3 months
Shi_etal_2024;Plozasiran;1;-25.44263339;APOC3;days;Change from baseline in percent;PRED;50;Once every 3 months
Shi_etal_2024;Plozasiran;2;-36.37837076;APOC3;days;Change from baseline in percent;PRED;50;Once every 3 months
Shi_etal_2024;Plozasiran;3;-43.38879885;APOC3;days;Change from baseline in percent;PRED;50;Once every 3 months
Shi_etal_2024;Plozasiran;3;-49.83846848;APOC3;days;Change from baseline in percent;PRED;50;Once every 3 months
Shi_etal_2024;Plozasiran;4;-59.51297291;APOC3;days;Change from baseline in percent;PRED;50;Once every 3 months
Shi_etal_2024;Plozasiran;5;-68.48700287;APOC3;days;Change from baseline in percent;PRED;50;Once every 3 months
Shi_etal_2024;Plozasiran;7.078247602;-77.32131683;APOC3;days;Change from baseline in percent;PRED;50;Once every 3 months
Shi_etal_2024;Plozasiran;9;-84.05373375;APOC3;days;Change from baseline in percent;PRED;50;Once every 3 months
Shi_etal_2024;Plozasiran;16;-91.07268689;APOC3;days;Change from baseline in percent;PRED;50;Once every 3 months
Shi_etal_2024;Plozasiran;36;-91.46341809;APOC3;days;Change from baseline in percent;PRED;50;Once every 3 months
Shi_etal_2024;Plozasiran;42;-91.01869494;APOC3;days;Change from baseline in percent;PRED;50;Once every 3 months
Shi_etal_2024;Plozasiran;51;-89.96395752;APOC3;days;Change from baseline in percent;PRED;50;Once every 3 months
Shi_etal_2024;Plozasiran;58;-89.35994234;APOC3;days;Change from baseline in percent;PRED;50;Once every 3 months
Shi_etal_2024;Plozasiran;66.85756321;-88.48557275;APOC3;days;Change from baseline in percent;PRED;50;Once every 3 months
Shi_etal_2024;Plozasiran;77;-87.40682312;APOC3;days;Change from baseline in percent;PRED;50;Once every 3 months
Shi_etal_2024;Plozasiran;86;-86.07559009;APOC3;days;Change from baseline in percent;PRED;50;Once every 3 months
Shi_etal_2024;Plozasiran;96;-93.55651944;APOC3;days;Change from baseline in percent;PRED;50;Once every 3 months
Shi_etal_2024;Plozasiran;104;-95.4105136;APOC3;days;Change from baseline in percent;PRED;50;Once every 3 months
Shi_etal_2024;Plozasiran;115;-94.86585799;APOC3;days;Change from baseline in percent;PRED;50;Once every 3 months
Shi_etal_2024;Plozasiran;124;-94.31930793;APOC3;days;Change from baseline in percent;PRED;50;Once every 3 months
Shi_etal_2024;Plozasiran;134.6557791;-93.6136237;APOC3;days;Change from baseline in percent;PRED;50;Once every 3 months
Shi_etal_2024;Plozasiran;140;-93.22052444;APOC3;days;Change from baseline in percent;PRED;50;Once every 3 months
Shi_etal_2024;Plozasiran;148;-92.67207992;APOC3;days;Change from baseline in percent;PRED;50;Once every 3 months
Shi_etal_2024;Plozasiran;158;-91.67805976;APOC3;days;Change from baseline in percent;PRED;50;Once every 3 months
Shi_etal_2024;Plozasiran;164;-91.01395881;APOC3;days;Change from baseline in percent;PRED;50;Once every 3 months
Shi_etal_2024;Plozasiran;175;-89.98858542;APOC3;days;Change from baseline in percent;PRED;50;Once every 3 months
Shi_etal_2024;Plozasiran;185;-94.40976812;APOC3;days;Change from baseline in percent;PRED;50;Once every 3 months
Shi_etal_2024;Plozasiran;193.3402354;-96.10451535;APOC3;days;Change from baseline in percent;PRED;50;Once every 3 months
Shi_etal_2024;Plozasiran;198;-96.11098807;APOC3;days;Change from baseline in percent;PRED;50;Once every 3 months
Shi_etal_2024;Plozasiran;209;-95.56696395;APOC3;days;Change from baseline in percent;PRED;50;Once every 3 months
Shi_etal_2024;Plozasiran;217;-95.01836156;APOC3;days;Change from baseline in percent;PRED;50;Once every 3 months
Shi_etal_2024;Plozasiran;226;-94.47086427;APOC3;days;Change from baseline in percent;PRED;50;Once every 3 months
Shi_etal_2024;Plozasiran;236;-93.70152638;APOC3;days;Change from baseline in percent;PRED;50;Once every 3 months
Shi_etal_2024;Plozasiran;247;-92.81937374;APOC3;days;Change from baseline in percent;PRED;50;Once every 3 months
Shi_etal_2024;Plozasiran;258.0879468;-91.85533332;APOC3;days;Change from baseline in percent;PRED;50;Once every 3 months
Shi_etal_2024;Plozasiran;267;-91.54140646;APOC3;days;Change from baseline in percent;PRED;50;Once every 3 months
Shi_etal_2024;Plozasiran;277;-95.78087941;APOC3;days;Change from baseline in percent;PRED;50;Once every 3 months
Shi_etal_2024;Plozasiran;295;-96.25638744;APOC3;days;Change from baseline in percent;PRED;50;Once every 3 months
Shi_etal_2024;Plozasiran;302;-95.70652208;APOC3;days;Change from baseline in percent;PRED;50;Once every 3 months
Shi_etal_2024;Plozasiran;310;-95.15665672;APOC3;days;Change from baseline in percent;PRED;50;Once every 3 months
Shi_etal_2024;Plozasiran;320;-94.61105389;APOC3;days;Change from baseline in percent;PRED;50;Once every 3 months
Shi_etal_2024;Plozasiran;330.6431374;-93.90631689;APOC3;days;Change from baseline in percent;PRED;50;Once every 3 months
Shi_etal_2024;Plozasiran;339;-93.09809533;APOC3;days;Change from baseline in percent;PRED;50;Once every 3 months
Shi_etal_2024;Plozasiran;342;-92.96193143;APOC3;days;Change from baseline in percent;PRED;50;Once every 3 months
Shi_etal_2024;Plozasiran;352;-92.01524556;APOC3;days;Change from baseline in percent;PRED;50;Once every 3 months
Shi_etal_2024;Plozasiran;358;-91.30381031;APOC3;days;Change from baseline in percent;PRED;50;Once every 3 months
Shi_etal_2024;Plozasiran;7;-72.27449061;APOC3;days;Change from baseline in percent;PRED;25;Once every 3 months
Shi_etal_2024;Plozasiran;12;-81.53363594;APOC3;days;Change from baseline in percent;PRED;25;Once every 3 months
Shi_etal_2024;Plozasiran;21.4548823;-85.19340588;APOC3;days;Change from baseline in percent;PRED;25;Once every 3 months
Shi_etal_2024;Plozasiran;25;-85.19798414;APOC3;days;Change from baseline in percent;PRED;25;Once every 3 months
Shi_etal_2024;Plozasiran;36;-83.81266445;APOC3;days;Change from baseline in percent;PRED;25;Once every 3 months
Shi_etal_2024;Plozasiran;49;-81.58952234;APOC3;days;Change from baseline in percent;PRED;25;Once every 3 months
Shi_etal_2024;Plozasiran;58;-80.20136096;APOC3;days;Change from baseline in percent;PRED;25;Once every 3 months
Shi_etal_2024;Plozasiran;69;-78.31097975;APOC3;days;Change from baseline in percent;PRED;25;Once every 3 months
Shi_etal_2024;Plozasiran;79;-76.58768941;APOC3;days;Change from baseline in percent;PRED;25;Once every 3 months
Shi_etal_2024;Plozasiran;88.58108108;-74.35886394;APOC3;days;Change from baseline in percent;PRED;25;Once every 3 months
Shi_etal_2024;Plozasiran;100;-90.07715116;APOC3;days;Change from baseline in percent;PRED;25;Once every 3 months
Shi_etal_2024;Plozasiran;115;-89.53912614;APOC3;days;Change from baseline in percent;PRED;25;Once every 3 months
Shi_etal_2024;Plozasiran;127;-88.15475367;APOC3;days;Change from baseline in percent;PRED;25;Once every 3 months
Shi_etal_2024;Plozasiran;131;-87.60015218;APOC3;days;Change from baseline in percent;PRED;25;Once every 3 months
Shi_etal_2024;Plozasiran;147;-85.75416435;APOC3;days;Change from baseline in percent;PRED;25;Once every 3 months
Shi_etal_2024;Plozasiran;159;-83.7169945;APOC3;days;Change from baseline in percent;PRED;25;Once every 3 months
Shi_etal_2024;Plozasiran;172.1452703;-81.6333316;APOC3;days;Change from baseline in percent;PRED;25;Once every 3 months
Shi_etal_2024;Plozasiran;179;-81.50395615;APOC3;days;Change from baseline in percent;PRED;25;Once every 3 months
Shi_etal_2024;Plozasiran;192;-91.54689248;APOC3;days;Change from baseline in percent;PRED;25;Once every 3 months
Shi_etal_2024;Plozasiran;196;-91.62255225;APOC3;days;Change from baseline in percent;PRED;25;Once every 3 months
Shi_etal_2024;Plozasiran;208;-90.93865425;APOC3;days;Change from baseline in percent;PRED;25;Once every 3 months
Shi_etal_2024;Plozasiran;216;-89.78303713;APOC3;days;Change from baseline in percent;PRED;25;Once every 3 months
Shi_etal_2024;Plozasiran;223;-88.85949067;APOC3;days;Change from baseline in percent;PRED;25;Once every 3 months
Shi_etal_2024;Plozasiran;234.4616391;-87.61436059;APOC3;days;Change from baseline in percent;PRED;25;Once every 3 months
Shi_etal_2024;Plozasiran;247.2103313;-85.75485898;APOC3;days;Change from baseline in percent;PRED;25;Once every 3 months
Shi_etal_2024;Plozasiran;257.6122493;-84.23765369;APOC3;days;Change from baseline in percent;PRED;25;Once every 3 months
Shi_etal_2024;Plozasiran;269.9803836;-83.04114794;APOC3;days;Change from baseline in percent;PRED;25;Once every 3 months
Shi_etal_2024;Plozasiran;278.8600697;-91.74616539;APOC3;days;Change from baseline in percent;PRED;25;Once every 3 months
Shi_etal_2024;Plozasiran;293.1309939;-91.767478;APOC3;days;Change from baseline in percent;PRED;25;Once every 3 months
Shi_etal_2024;Plozasiran;302.4335222;-90.84677322;APOC3;days;Change from baseline in percent;PRED;25;Once every 3 months
Shi_etal_2024;Plozasiran;311.1017873;-89.73820172;APOC3;days;Change from baseline in percent;PRED;25;Once every 3 months
Shi_etal_2024;Plozasiran;316.2816042;-89.27863868;APOC3;days;Change from baseline in percent;PRED;25;Once every 3 months
Shi_etal_2024;Plozasiran;329.2840017;-87.61578143;APOC3;days;Change from baseline in percent;PRED;25;Once every 3 months
Shi_etal_2024;Plozasiran;341.0178727;-85.95102972;APOC3;days;Change from baseline in percent;PRED;25;Once every 3 months
Shi_etal_2024;Plozasiran;351.1660854;-84.42409957;APOC3;days;Change from baseline in percent;PRED;25;Once every 3 months
Shi_etal_2024;Plozasiran;358.9358108;-83.03380693;APOC3;days;Change from baseline in percent;PRED;25;Once every 3 months
Shi_etal_2024;Plozasiran;4.224062772;-47.31647621;APOC3;days;Change from baseline in percent;PRED;10;Once every 3 months
Shi_etal_2024;Plozasiran;5.809721011;-56.19752004;APOC3;days;Change from baseline in percent;PRED;10;Once every 3 months
Shi_etal_2024;Plozasiran;8.346774194;-64.36969065;APOC3;days;Change from baseline in percent;PRED;10;Once every 3 months
Shi_etal_2024;Plozasiran;13.42088056;-69.3272364;APOC3;days;Change from baseline in percent;PRED;10;Once every 3 months
Shi_etal_2024;Plozasiran;20.39777681;-69.84743633;APOC3;days;Change from baseline in percent;PRED;10;Once every 3 months
Shi_etal_2024;Plozasiran;27.31124673;-69.05230803;APOC3;days;Change from baseline in percent;PRED;10;Once every 3 months
Shi_etal_2024;Plozasiran;34.35156931;-67.42132928;APOC3;days;Change from baseline in percent;PRED;10;Once every 3 months
Shi_etal_2024;Plozasiran;41.32846556;-65.87691848;APOC3;days;Change from baseline in percent;PRED;10;Once every 3 months
Shi_etal_2024;Plozasiran;48.30536181;-63.77174921;APOC3;days;Change from baseline in percent;PRED;10;Once every 3 months
Shi_etal_2024;Plozasiran;55.28225806;-62.15087134;APOC3;days;Change from baseline in percent;PRED;10;Once every 3 months
Shi_etal_2024;Plozasiran;62.25915432;-60.47901543;APOC3;days;Change from baseline in percent;PRED;10;Once every 3 months
Shi_etal_2024;Plozasiran;69.87031386;-58.60419458;APOC3;days;Change from baseline in percent;PRED;10;Once every 3 months
Shi_etal_2024;Plozasiran;76.84721011;-57.03429475;APOC3;days;Change from baseline in percent;PRED;10;Once every 3 months
Shi_etal_2024;Plozasiran;83.82410636;-54.98010352;APOC3;days;Change from baseline in percent;PRED;10;Once every 3 months
Shi_etal_2024;Plozasiran;89.15191805;-54.90139756;APOC3;days;Change from baseline in percent;PRED;10;Once every 3 months
Shi_etal_2024;Plozasiran;92.06952921;-64.1769615;APOC3;days;Change from baseline in percent;PRED;10;Once every 3 months
Shi_etal_2024;Plozasiran;94.60658239;-71.95660118;APOC3;days;Change from baseline in percent;PRED;10;Once every 3 months
Shi_etal_2024;Plozasiran;99.04642546;-77.39635827;APOC3;days;Change from baseline in percent;PRED;10;Once every 3 months
Shi_etal_2024;Plozasiran;108.5603749;-78.18656577;APOC3;days;Change from baseline in percent;PRED;10;Once every 3 months
Shi_etal_2024;Plozasiran;115.5372711;-76.82057812;APOC3;days;Change from baseline in percent;PRED;10;Once every 3 months
Shi_etal_2024;Plozasiran;122.5141674;-75.32714536;APOC3;days;Change from baseline in percent;PRED;10;Once every 3 months
Shi_etal_2024;Plozasiran;129.4910636;-73.62980043;APOC3;days;Change from baseline in percent;PRED;10;Once every 3 months
Shi_etal_2024;Plozasiran;136.4679599;-72.28930179;APOC3;days;Change from baseline in percent;PRED;10;Once every 3 months
Shi_etal_2024;Plozasiran;143.4448561;-70.8723361;APOC3;days;Change from baseline in percent;PRED;10;Once every 3 months
Shi_etal_2024;Plozasiran;150.4217524;-69.30243628;APOC3;days;Change from baseline in percent;PRED;10;Once every 3 months
Shi_etal_2024;Plozasiran;157.3986486;-67.29922309;APOC3;days;Change from baseline in percent;PRED;10;Once every 3 months
Shi_etal_2024;Plozasiran;164.3755449;-65.42345501;APOC3;days;Change from baseline in percent;PRED;10;Once every 3 months
Shi_etal_2024;Plozasiran;171.3524412;-63.64964302;APOC3;days;Change from baseline in percent;PRED;10;Once every 3 months
Shi_etal_2024;Plozasiran;178.0122058;-62.88472265;APOC3;days;Change from baseline in percent;PRED;10;Once every 3 months
Shi_etal_2024;Plozasiran;182.4520488;-71.69526121;APOC3;days;Change from baseline in percent;PRED;10;Once every 3 months
Shi_etal_2024;Plozasiran;187.2090235;-78.78831334;APOC3;days;Change from baseline in percent;PRED;10;Once every 3 months
Shi_etal_2024;Plozasiran;194.1859198;-80.76138748;APOC3;days;Change from baseline in percent;PRED;10;Once every 3 months
Shi_etal_2024;Plozasiran;201.162816;-80.00713634;APOC3;days;Change from baseline in percent;PRED;10;Once every 3 months
Shi_etal_2024;Plozasiran;208.076286;-79.05142721;APOC3;days;Change from baseline in percent;PRED;10;Once every 3 months
Shi_etal_2024;Plozasiran;215.1166085;-77.45358418;APOC3;days;Change from baseline in percent;PRED;10;Once every 3 months
Shi_etal_2024;Plozasiran;222.0935048;-75.78172827;APOC3;days;Change from baseline in percent;PRED;10;Once every 3 months
Shi_etal_2024;Plozasiran;229.070401;-74.33927356;APOC3;days;Change from baseline in percent;PRED;10;Once every 3 months
Shi_etal_2024;Plozasiran;236.3010026;-72.6168185;APOC3;days;Change from baseline in percent;PRED;10;Once every 3 months
Shi_etal_2024;Plozasiran;243.8487358;-70.60936001;APOC3;days;Change from baseline in percent;PRED;10;Once every 3 months
Shi_etal_2024;Plozasiran;250.4450741;-69.38554254;APOC3;days;Change from baseline in percent;PRED;10;Once every 3 months
Shi_etal_2024;Plozasiran;257.6122493;-67.55084106;APOC3;days;Change from baseline in percent;PRED;10;Once every 3 months
Shi_etal_2024;Plozasiran;264.5891456;-65.72605103;APOC3;days;Change from baseline in percent;PRED;10;Once every 3 months
Shi_etal_2024;Plozasiran;269.663252;-66.10576855;APOC3;days;Change from baseline in percent;PRED;10;Once every 3 months
Shi_etal_2024;Plozasiran;272.5174368;-73.93261172;APOC3;days;Change from baseline in percent;PRED;10;Once every 3 months
Shi_etal_2024;Plozasiran;277.2744115;-80.29922675;APOC3;days;Change from baseline in percent;PRED;10;Once every 3 months
Shi_etal_2024;Plozasiran;284.2513078;-82.06838872;APOC3;days;Change from baseline in percent;PRED;10;Once every 3 months
Shi_etal_2024;Plozasiran;291.228204;-81.13571443;APOC3;days;Change from baseline in percent;PRED;10;Once every 3 months
Shi_etal_2024;Plozasiran;298.2051003;-80.07559503;APOC3;days;Change from baseline in percent;PRED;10;Once every 3 months
Shi_etal_2024;Plozasiran;305.1819965;-78.32727206;APOC3;days;Change from baseline in percent;PRED;10;Once every 3 months
Shi_etal_2024;Plozasiran;312.1588928;-76.78286125;APOC3;days;Change from baseline in percent;PRED;10;Once every 3 months
Shi_etal_2024;Plozasiran;319.135789;-75.31491752;APOC3;days;Change from baseline in percent;PRED;10;Once every 3 months
Shi_etal_2024;Plozasiran;325.9858326;-73.81619751;APOC3;days;Change from baseline in percent;PRED;10;Once every 3 months
Shi_etal_2024;Plozasiran;333.0895815;-72.25158493;APOC3;days;Change from baseline in percent;PRED;10;Once every 3 months
Shi_etal_2024;Plozasiran;340.0664778;-70.47777294;APOC3;days;Change from baseline in percent;PRED;10;Once every 3 months
Shi_etal_2024;Plozasiran;347.043374;-68.88238409;APOC3;days;Change from baseline in percent;PRED;10;Once every 3 months
Shi_etal_2024;Plozasiran;354.0202703;-66.85368189;APOC3;days;Change from baseline in percent;PRED;10;Once every 3 months
Shi_etal_2024;Plozasiran;361.1874455;-65.03682272;APOC3;days;Change from baseline in percent;PRED;10;Once every 3 months
Shi_etal_2024;Plozasiran;1.010826337;-5.726347694;TG;days;Change from baseline in percent;PRED;50;Once every 3 months
Shi_etal_2024;Plozasiran;1.644940345;-12.9753915;TG;days;Change from baseline in percent;PRED;50;Once every 3 months
Shi_etal_2024;Plozasiran;2.279054353;-25.14342931;TG;days;Change from baseline in percent;PRED;50;Once every 3 months
Shi_etal_2024;Plozasiran;2.913168361;-32.65136754;TG;days;Change from baseline in percent;PRED;50;Once every 3 months
Shi_etal_2024;Plozasiran;3.547282369;-41.84211951;TG;days;Change from baseline in percent;PRED;50;Once every 3 months
Shi_etal_2024;Plozasiran;4.181396376;-49.09116331;TG;days;Change from baseline in percent;PRED;50;Once every 3 months
Shi_etal_2024;Plozasiran;4.815510384;-53.62181569;TG;days;Change from baseline in percent;PRED;50;Once every 3 months
Shi_etal_2024;Plozasiran;5.766681396;-61.0003067;TG;days;Change from baseline in percent;PRED;50;Once every 3 months
Shi_etal_2024;Plozasiran;7.034909412;-67.73156167;TG;days;Change from baseline in percent;PRED;50;Once every 3 months
Shi_etal_2024;Plozasiran;8.937251436;-75.88673595;TG;days;Change from baseline in percent;PRED;50;Once every 3 months
Shi_etal_2024;Plozasiran;14.3272205;-83.18285146;TG;days;Change from baseline in percent;PRED;50;Once every 3 months
Shi_etal_2024;Plozasiran;21.30247459;-85.06571998;TG;days;Change from baseline in percent;PRED;50;Once every 3 months
Shi_etal_2024;Plozasiran;28.27772868;-84.92450484;TG;days;Change from baseline in percent;PRED;50;Once every 3 months
Shi_etal_2024;Plozasiran;35.25298277;-84.31257258;TG;days;Change from baseline in percent;PRED;50;Once every 3 months
